alpha,sigma
2.904093584645399,8.545370665672987
3.216551981894272,5.630417235803852
4.1217499450937005,6.943205201322718
3.087356948812282,7.089595816694851
3.723074078980293,6.561338602809537
3.1425347516839457,8.377471428923283
2.746327095397445,7.341619436210011
2.6869401885425503,7.666655598493314
3.24793226491843,7.283242040398552
4.273181668154432,7.184471524346297
3.087274365561491,6.5087213589942525
2.0896059073366313,9.157442717160396
2.1198080903817127,8.02448797829575
2.343720606182484,7.78556561440248
1.8709373569696106,9.499031192804209
2.35534206049842,7.012290141589926
1.9703646303805054,7.810995164497932
3.2746215665962426,6.2950407237079284
3.936686048951916,6.74680336724107
2.7179152096320642,7.703737433402057
2.838227277856831,7.416092540231252
3.7729576724180016,7.509204381910086
3.500457491891912,6.465954919266973
3.63352639112997,7.117784600334465
3.3953794371535557,8.32368687671181
3.2843993857209526,7.141590589250361
2.841194599764,7.409147735961529
2.657398940504355,7.395622927980244
3.2860348284208074,7.033679080623277
4.041058077748504,6.5524461609559115
4.368943982711255,7.112315928543994
2.721800228853703,6.2630237064045655
3.1594094129667507,6.561521608402214
2.9030461379585266,6.741549007747472
3.617543678294386,7.5708094954387315
3.3598241326256066,7.227671104489851
2.102919944250556,8.474763566575394
2.829089434113711,7.098366959327667
2.271325795841925,7.478815216117658
3.403659168027199,6.462730392204573
2.3066059561729713,6.964775260783473
3.2030134626541726,6.6172147643936805
2.0084099020965605,8.354612770146062
2.8738963426976825,7.03314889163336
2.903516164048791,7.116450423439416
2.3408718180005033,8.220614854107804
3.2473595114764198,7.077939142716514
2.8164083984254273,6.945748055735527
3.0838239380930967,8.041650010225924
2.1252486369577115,8.32663399807798
3.1941444987318484,8.675346433339426
2.9280273755513697,7.897179165900774
2.5100283819757068,7.80560146714587
2.7510465540908857,6.3306949863487585
3.5020737185931377,6.778015803707039
2.898010274537992,6.813855529722139
2.045459690305353,7.211349558137699
3.097984601945736,6.449033217025578
2.946763034802871,6.631412415031123
3.272898298467641,7.054868284972083
3.794062210842406,7.075697536684328
2.7297825830134914,8.039943088187417
2.8815117782226602,7.081969667252808
2.8744332251893354,7.0209883574496095
3.3696694788505686,8.062130141050101
2.963592380422694,7.081497233778279
2.6444938311874657,6.78601796966024
2.4308890670012584,6.972972732503577
3.0335908116096006,7.803329497957875
2.9188478413993657,7.908906460747019
3.2824955336616712,7.104914725470429
2.818521082652874,7.215966313445697
2.9867034791426783,7.137924038346843
2.4904126811092504,7.321885047805008
4.229988337345175,6.8049065524003405
3.849440452772126,7.166332225256775
3.033412987772692,6.989576514901383
2.339031172184962,8.454107267326716
