Date,pop_leaving,wuhan_pop,prob_leaving
1/11/19,44849,13972843,0.003209726
2/11/19,44849,13972843,0.003209726
3/11/19,44849,13972843,0.003209726
4/11/19,44849,13972843,0.003209726
5/11/19,44849,13972843,0.003209726
6/11/19,44849,13972843,0.003209726
7/11/19,44849,13972843,0.003209726
8/11/19,44849,13972843,0.003209726
9/11/19,44849,13972843,0.003209726
10/11/19,44849,13972843,0.003209726
11/11/19,44849,13972843,0.003209726
12/11/19,44849,13972843,0.003209726
13/11/19,44849,13972843,0.003209726
14/11/19,44849,13972843,0.003209726
15/11/19,44849,13972843,0.003209726
16/11/19,44849,13972843,0.003209726
17/11/19,44849,13972843,0.003209726
18/11/19,44849,13972843,0.003209726
19/11/19,44849,13972843,0.003209726
20/11/19,44849,13972843,0.003209726
21/11/19,44849,13972843,0.003209726
22/11/19,44849,13972843,0.003209726
23/11/19,44849,13972843,0.003209726
24/11/19,44849,13972843,0.003209726
25/11/19,44849,13972843,0.003209726
26/11/19,44849,13972843,0.003209726
27/11/19,44849,13972843,0.003209726
28/11/19,44849,13972843,0.003209726
29/11/19,44849,13972843,0.003209726
30/11/19,44849,13972843,0.003209726
1/12/19,44849,13972843,0.003209726
2/12/19,44849,13972843,0.003209726
3/12/19,44849,13972843,0.003209726
4/12/19,44849,13972843,0.003209726
5/12/19,44849,13972843,0.003209726
6/12/19,44849,13972843,0.003209726
7/12/19,44849,13972843,0.003209726
8/12/19,44849,13972843,0.003209726
9/12/19,44849,13972843,0.003209726
10/12/19,44849,13972843,0.003209726
11/12/19,44849,13972843,0.003209726
12/12/19,44849,13972843,0.003209726
13/12/19,44849,13972843,0.003209726
14/12/19,44849,13972843,0.003209726
15/12/19,44849,13972843,0.003209726
16/12/19,44849,13972843,0.003209726
17/12/19,44849,13972843,0.003209726
18/12/19,44849,13972843,0.003209726
19/12/19,44849,13972843,0.003209726
20/12/19,44849,13972843,0.003209726
21/12/19,44849,13972843,0.003209726
22/12/19,44849,13972843,0.003209726
23/12/19,44849,13972843,0.003209726
24/12/19,44849,13972843,0.003209726
25/12/19,44849,13972843,0.003209726
26/12/19,44849,13972843,0.003209726
27/12/19,44849,13972843,0.003209726
28/12/19,44849,13972843,0.003209726
29/12/19,44849,13972843,0.003209726
30/12/19,44849,13972843,0.003209726
31/12/19,44849,13972843,0.003209726
1/1/20,44849,13972843,0.003209726
2/1/20,63536,13952772.05,0.004553647
3/1/20,84408,13892092.44,0.006075975
4/1/20,91853,13815076.01,0.006648751
5/1/20,91903,13803873.62,0.006657769
6/1/20,98465,13743660.77,0.007164394
7/1/20,113306,13642839.27,0.008305163
8/1/20,132314,13508877.35,0.009794596
9/1/20,146204,13353444.19,0.010948786
10/1/20,118007,13259157.41,0.008900038
11/1/20,114931,13122861.67,0.008758074
12/1/20,97609,13036509.92,0.007487357
13/01/20,97057,12993100.65,0.007469887
14/01/20,89709,12928686.91,0.006938756
15/01/20,93240,12842335.16,0.007260362
16/01/20,95921,12748981.91,0.007523816
17/01/20,99317,12653761.6,0.007848812
18/01/20,108107,12491326.94,0.008654565
19/01/20,105492,12339161.15,0.008549366
20/01/20,113766,12146386.69,0.009366242
21/01/20,141168,11842988.63,0.011919964
22/01/20,139434,11425699.61,0.012203542
23/01/20,121831,10987406.11,0.01108824
24/01/20,50005,10846909.47,0.004610069
25/01/20,15437,10815636.13,0.001427285
26/01/20,0,1,0
27/01/20,0,1,0
28/01/20,0,1,0
29/01/20,0,1,0
30/01/20,0,1,0
31/01/20,0,1,0
1/2/20,0,1,0
2/2/20,0,1,0
3/2/20,0,1,0
4/2/20,0,1,0
5/2/20,0,1,0
6/2/20,0,1,0
7/2/20,0,1,0
8/2/20,0,1,0
9/2/20,0,1,0
10/2/20,0,1,0
11/2/20,0,1,0
12/2/20,0,1,0
13/02/20,0,1,0
14/02/20,0,1,0
15/02/20,0,1,0
16/02/20,0,1,0
17/02/20,0,1,0
18/02/20,0,1,0
19/02/20,0,1,0
20/02/20,0,1,0
21/02/20,0,1,0
22/02/20,0,1,0
23/02/20,0,1,0
24/02/20,0,1,0
25/02/20,0,1,0
26/02/20,0,1,0
27/02/20,0,1,0
28/02/20,0,1,0
29/02/20,0,1,0
1/3/20,0,1,0
2/3/20,0,1,0
3/3/20,0,1,0
