Date,emigration,immigration,frac_leave_hubei
1/1/2020,3.46,2.85,0.2777
1/2/2020,3.52,3.09,0.3867
1/3/2020,5.52,4.22,0.3276
1/4/2020,6.1,4.45,0.3226
1/5/2020,5.32,5.08,0.3701
1/6/2020,5.6,4.31,0.3767
1/7/2020,6.41,4.25,0.3787
1/8/2020,7.34,4.47,0.3862
1/9/2020,8.14,4.81,0.3848
1/10/2020,6.62,4.6,0.3819
1/11/2020,7.56,4.64,0.3257
1/12/2020,6.22,4.37,0.3362
1/13/2020,5.76,4.83,0.361
1/14/2020,5.46,4.08,0.352
1/15/2020,5.91,4.06,0.338
1/16/2020,6,4,0.3425
1/17/2020,6.44,4.4,0.3304
1/18/2020,7.71,4.23,0.3004
1/19/2020,7.41,4.15,0.305
1/20/2020,8.31,4.18,0.2933
1/21/2020,10.74,4.24,0.2816
1/22/2020,11.84,2.9,0.2523
1/23/2020,11.14,1.75,0.2343
1/24/2020,3.89,0.88,0.2754
1/25/2020,1.3,0.63,0.2544
