date,province,percentage
1/26/20,Hubei Province,0.7627
1/26/20,Henan Province,0.041
1/26/20,Guangdong Province,0.0376
1/26/20,Hunan Province,0.0238
1/26/20,Anhui Province,0.0147
1/26/20,Jiangxi Province,0.0137
1/26/20,Zhejiang Province,0.0124
1/26/20,Jiangsu Province,0.0124
1/26/20,Sichuan Province,0.0085
1/26/20,Chongqing,0.0064
1/26/20,Shandong Province,0.0063
1/26/20,Fujian Province,0.006
1/26/20,Yunnan Province,0.0053
1/26/20,Shanghai,0.0051
1/26/20,Hainan,0.005
1/26/20,Shaanxi Province,0.0048
1/26/20,Beijing,0.0042
1/26/20,Hebei Province,0.0042
1/26/20,Guangxi Zhuang Autonomous Region,0.0042
1/26/20,Shanxi Province,0.004
1/26/20,Guizhou Province,0.0029
1/26/20,Liaoning Province,0.0023
1/26/20,Gansu province,0.0023
1/26/20,Inner Mongolia Autonomous Region,0.0016
1/26/20,Jilin Province,0.0016
1/26/20,Heilongjiang Province,0.0013
1/26/20,Xinjiang Uygur Autonomous Region,0.0009
1/26/20,Qinghai Province,0.0006
1/26/20,Tianjin,0.0005
1/26/20,Ningxia Hui Autonomous Region,0.0003
1/25/20,Hubei Province,0.7456
1/25/20,Henan Province,0.0433
1/25/20,Guangdong Province,0.0312
1/25/20,Hunan Province,0.0236
1/25/20,Anhui Province,0.0181
1/25/20,Jiangxi Province,0.0136
1/25/20,Jiangsu Province,0.0131
1/25/20,Sichuan Province,0.0117
1/25/20,Zhejiang Province,0.0094
1/25/20,Chongqing,0.0092
1/25/20,Shandong Province,0.0085
1/25/20,Guangxi Zhuang Autonomous Region,0.0071
1/25/20,Hainan,0.0068
1/25/20,Fujian Province,0.0068
1/25/20,Shaanxi Province,0.0065
1/25/20,Yunnan Province,0.0054
1/25/20,Hebei Province,0.0053
1/25/20,Shanghai,0.0049
1/25/20,Beijing,0.0042
1/25/20,Guizhou Province,0.004
1/25/20,Shanxi Province,0.0039
1/25/20,Gansu province,0.0029
1/25/20,Heilongjiang Province,0.0026
1/25/20,Liaoning Province,0.0023
1/25/20,Inner Mongolia Autonomous Region,0.0017
1/25/20,Jilin Province,0.0016
1/25/20,Xinjiang Uygur Autonomous Region,0.0013
1/25/20,Tianjin,0.0008
1/25/20,Ningxia Hui Autonomous Region,0.0006
1/25/20,Qinghai Province,0.0005
1/25/20,Tibet Autonomous Region,0.0001
1/24/20,Hubei Province,0.7246
1/24/20,Henan Province,0.0498
1/24/20,Hunan Province,0.0312
1/24/20,Guangdong Province,0.029
1/24/20,Anhui Province,0.0197
1/24/20,Jiangxi Province,0.0173
1/24/20,Chongqing,0.0129
1/24/20,Jiangsu Province,0.0126
1/24/20,Sichuan Province,0.012
1/24/20,Shandong Province,0.0092
1/24/20,Zhejiang Province,0.009
1/24/20,Fujian Province,0.0087
1/24/20,Shaanxi Province,0.0073
1/24/20,Guangxi Zhuang Autonomous Region,0.0066
1/24/20,Hebei Province,0.0059
