province_use,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25
Guangdong,0.09398631616852722,0.09723299715541762,0.09126984126984128,0.08555486670799752,0.09402864090786274,0.08255906556941862,0.07789807235278584,0.07560849300880372,0.07198544698544697,0.07410316836868289,0.06816088424930919,0.06751933372992266,0.06786703601108035,0.061931818181818185,0.05710059171597634,0.05693430656934306,0.055992736077481835,0.053928095872170435,0.05803278688524589,0.05659734060688714,0.06001420454545455,0.06183115338882283,0.0661545027742211,0.10530137981118375,0.12264150943396226
Henan,0.14872164205977678,0.12748900956814066,0.13888888888888887,0.13639181649101054,0.13023507160226966,0.12874966817095831,0.1320306311064167,0.1302433972035215,0.13799376299376298,0.13694684472374966,0.15105925698495548,0.14663890541344435,0.1479224376731302,0.16392045454545454,0.17840236686390534,0.1886131386861314,0.19279661016949154,0.18641810918774968,0.19213114754098357,0.21206955335833616,0.21946022727272732,0.22473246135552916,0.227059325650875,0.18082788671023964,0.17020440251572327
Zhejiang,0.050054015124234796,0.0517196793379881,0.05006105006105007,0.045567265964042154,0.049716292893812485,0.046190602601539676,0.042777924478479,0.0442775763852926,0.040800415800415796,0.04241948153967007,0.04237027939821922,0.0380725758477097,0.03795013850415513,0.035511363636363646,0.03372781065088758,0.034744525547445254,0.03510895883777239,0.03794940079893475,0.034098360655737694,0.033753835663143536,0.03160511363636364,0.028141101862861676,0.028169014084507046,0.0326797385620915,0.0369496855345912
Hunan,0.11127115592365866,0.09671580036203775,0.11385836385836386,0.10074395536267824,0.09321804917589842,0.09662861693655428,0.09928703459202534,0.0976178146038322,0.09381496881496881,0.10212097407698349,0.11022413263739639,0.10261748958953004,0.10443213296398891,0.10852272727272727,0.10562130177514795,0.10598540145985401,0.10865617433414043,0.12483355525965378,0.11245901639344259,0.11455847255369926,0.1207386363636364,0.12841854934601665,0.13102859581732826,0.11328976034858387,0.09276729559748428
Anhui,0.06985956067698958,0.06671838634600465,0.06898656898656899,0.06633601983880967,0.0621453661172656,0.06052561720201752,0.061526274095590174,0.06266183324702226,0.06340956340956341,0.0659858601728201,0.06938900828983727,0.06305770374776917,0.06426592797783934,0.06846590909090909,0.07485207100591716,0.07094890510948904,0.07627118644067796,0.08022636484687083,0.0744262295081967,0.07739515854074328,0.08061079545454547,0.08323424494649229,0.08194622279129322,0.07153231663035584,0.07114779874213838
Jiangxi,0.06769895570759815,0.061546418412205844,0.06105006105006105,0.0619962802231866,0.05782221021345582,0.058401911335280055,0.056773171375759164,0.05515277058518902,0.05925155925155925,0.05813040062843677,0.06601166717838503,0.05889351576442593,0.062326869806094184,0.06363636363636363,0.06715976331360948,0.07007299270072993,0.07263922518159806,0.07456724367509987,0.07311475409836064,0.0712580975110808,0.07244318181818184,0.07728894173602854,0.07853179684165601,0.06281771968046478,0.05345911949685535
Shandong,0.03024846957148002,0.034910783553141964,0.032661782661782664,0.0356478611283323,0.03431504998649013,0.03743031590124767,0.039873250594137835,0.03754531330916624,0.04106029106029106,0.0408483896307934,0.034387473134786614,0.03926234384295062,0.036011080332409975,0.03579545454545455,0.03550295857988166,0.036204379562043795,0.037832929782082324,0.03761651131824234,0.037049180327868844,0.03511762700306853,0.035511363636363646,0.03369005152596116,0.029449423815621004,0.03340595497458242,0.0334119496855346
Jiangsu,0.056895930860641,0.05896043444530644,0.0586080586080586,0.05827650340979541,0.060524182653336936,0.058136448101937875,0.05730129390018484,0.05541170378042465,0.05457380457380458,0.05786855197695732,0.05465151980350015,0.04997025580011896,0.049307479224376734,0.049715909090909095,0.04940828402366865,0.04817518248175182,0.051452784503631964,0.05159786950732357,0.04557377049180327,0.04295942720763723,0.04119318181818182,0.040824415378517644,0.04054630815194196,0.04575163398692811,0.05149371069182391
Chongqing,0.030608570399711932,0.029738815619343155,0.03144078144078144,0.032238065716057036,0.030802485814644693,0.0326519777010884,0.032743596514391335,0.03288451579492491,0.03794178794178794,0.03875360041895784,0.036843721215842805,0.03985722784057109,0.03684210526315789,0.040625,0.045562130177514794,0.042335766423357665,0.03995157384987893,0.04227696404793608,0.042295081967213106,0.04330037504261847,0.04438920454545456,0.04122076892588189,0.04268032437046522,0.04684095860566449,0.03616352201257862
Sichuan,0.029888368743248118,0.03516938194983191,0.03021978021978022,0.03533787972721637,0.03620643069440691,0.03610299973453676,0.038817005545286505,0.03909891248058001,0.04287941787941788,0.03875360041895784,0.03929996929689899,0.04580606781677572,0.041828254847645435,0.04318181818181819,0.04171597633136095,0.04204379562043795,0.0387409200968523,0.039280958721704395,0.04393442622950819,0.04125468803273098,0.04012784090909091,0.03844629409433215,0.03542466922748614,0.04357298474945534,0.04599056603773585
