province_use,11/1/19,11/2/19,11/3/19,11/4/19,11/5/19,11/6/19,11/7/19,11/8/19,11/9/19,11/10/19,11/11/19,11/12/19,11/13/19,11/14/19,11/15/19,11/16/19,11/17/19,11/18/19,11/19/19,11/20/19,11/21/19,11/22/19,11/23/19,11/24/19,11/25/19,11/26/19,11/27/19,11/28/19,11/29/19,11/30/19,12/1/19,12/2/19,12/3/19,12/4/19,12/5/19,12/6/19,12/7/19,12/8/19,12/9/19,12/10/19,12/11/19,12/12/19,12/13/19,12/14/19,12/15/19,12/16/19,12/17/19,12/18/19,12/19/19,12/20/19,12/21/19,12/22/19,12/23/19,12/24/19,12/25/19,12/26/19,12/27/19,12/28/19,12/29/19,12/30/19,12/31/19,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20
Hubei,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guangdong,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.094978166,0.098249281,0.092340951,0.086520376,0.09492635,0.083422747,0.078582845,0.076319916,0.07264621,0.074749076,0.068794546,0.068127251,0.068454876,0.062482087,0.057560394,0.057386698,0.056385248,0.054380665,0.058570483,0.057123193,0.06061693,0.06237505,0.06678156,0.106343968,0.124352332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henan,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.150291121,0.128821531,0.140518839,0.137931034,0.131478451,0.130096567,0.133191263,0.131468897,0.139260425,0.138140518,0.152463588,0.147959184,0.149203688,0.165376899,0.17983895,0.19011183,0.194148126,0.187982544,0.193911317,0.214039917,0.221664275,0.226709316,0.229211547,0.182618262,0.172578717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhejiang,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.050582242,0.052260256,0.050648548,0.046081505,0.050190944,0.04667382,0.043153969,0.044694198,0.041174928,0.042789223,0.042764177,0.038415366,0.038278849,0.035826884,0.033999404,0.0350206,0.035355075,0.038267875,0.034414295,0.034067447,0.031922525,0.028388645,0.028436019,0.0330033,0.037465126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunan,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.112445415,0.097726679,0.115194565,0.101880878,0.09410802,0.097639485,0.10015983,0.09853633,0.094676108,0.103011094,0.111248838,0.103541417,0.105336686,0.109486959,0.106471816,0.106827546,0.10941786,0.125881168,0.113500993,0.115622849,0.12195122,0.129548181,0.132270573,0.114411441,0.094061379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anhui,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.070596798,0.06741573,0.06979617,0.067084639,0.06273868,0.061158798,0.062067128,0.063251438,0.063991608,0.066561014,0.070034087,0.06362545,0.064822576,0.069074233,0.075454817,0.071512655,0.076805852,0.080899631,0.075115817,0.078114246,0.081420373,0.083966413,0.082722964,0.072240557,0.072140295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiangxi,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.068413392,0.062189705,0.061766523,0.062695925,0.05837425,0.059012876,0.057272243,0.05567172,0.059795437,0.058637084,0.066625349,0.05942377,0.062866723,0.064201777,0.067700567,0.070629782,0.07314843,0.075193018,0.073792191,0.071920165,0.073170732,0.077968812,0.079276174,0.063439677,0.054204862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shandong,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.030567686,0.035275673,0.03304509,0.036050157,0.034642662,0.037821888,0.040223761,0.037898589,0.041437189,0.041204437,0.034707158,0.039615846,0.036322995,0.0361135,0.035788846,0.036492054,0.038098141,0.037932192,0.037392455,0.035443909,0.035868006,0.033986405,0.029728565,0.033736707,0.033878039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiangsu,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.057496361,0.059576692,0.059295862,0.058934169,0.061102019,0.058744635,0.057805008,0.055933089,0.055074744,0.058372953,0.055159591,0.050420168,0.049734563,0.050157638,0.049806144,0.048557975,0.051813472,0.052030883,0.045996029,0.043358568,0.041606887,0.041183527,0.040930633,0.04620462,0.052212037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chongqing,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030931587,0.030049647,0.031809759,0.032601881,0.031096563,0.032993562,0.033031433,0.033193936,0.03829006,0.039091389,0.037186241,0.040216086,0.037161218,0.040985956,0.045929019,0.04267216,0.040231637,0.042631756,0.042686962,0.043702684,0.044835007,0.041583367,0.043084877,0.04730473,0.036667995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sichuan,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.030203785,0.035536974,0.030574429,0.035736677,0.0365521,0.036480687,0.039158231,0.039466806,0.043273013,0.039091389,0.039665324,0.046218487,0.042190556,0.043565492,0.042051894,0.042377869,0.039012496,0.039610608,0.044341496,0.04163799,0.040530846,0.038784486,0.035760448,0.0440044,0.046632124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heilongjiang,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008005822,0.008361641,0.008029648,0.00815047,0.007637752,0.00804721,0.009057006,0.008886566,0.009179124,0.008188061,0.008986675,0.010804322,0.00949986,0.009458298,0.009841933,0.010005886,0.010057909,0.009399127,0.010589014,0.009291122,0.008249641,0.007996801,0.007755278,0.00880088,0.010362694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beijing,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.04657933,0.049647243,0.048795553,0.044200627,0.060283688,0.056598712,0.05167821,0.047830633,0.039076842,0.043053354,0.0359467,0.036314526,0.040234702,0.040699341,0.03877125,0.037669217,0.032612009,0.024504867,0.022501655,0.019270475,0.016857963,0.015593762,0.015510556,0.01430143,0.016739737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.037845706,0.035275673,0.036751081,0.035736677,0.043371522,0.035675966,0.034629728,0.032932567,0.029110936,0.031167459,0.030058878,0.025510204,0.031293657,0.029807968,0.027139875,0.02707475,0.02438281,0.020140987,0.018530774,0.015829319,0.011836442,0.011195522,0.013356312,0.019435277,0.019529693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hebei,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.024745269,0.025607525,0.023780111,0.026332288,0.027550464,0.027896996,0.029834843,0.031625719,0.033307107,0.033016376,0.030678649,0.031212485,0.031573065,0.028948123,0.034595884,0.031489111,0.034135934,0.032561262,0.033090668,0.032346869,0.029411765,0.028388645,0.024127531,0.021635497,0.021123954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fujian,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.022197962,0.026914032,0.025941939,0.026332288,0.022913257,0.024409871,0.023974427,0.026398327,0.02675059,0.025884839,0.026960025,0.027911164,0.028499581,0.028948123,0.029824038,0.031489111,0.031697653,0.030882847,0.033421575,0.030970406,0.030129125,0.029588165,0.031021112,0.03190319,0.027102431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
