province_raw,province_use,order
Hubei Province,Hubei,1
Guangdong Province,Guangdong,2
Henan Province,Henan,3
Zhejiang Province,Zhejiang,4
Hunan Province,Hunan,5
Anhui Province,Anhui,6
Jiangxi Province,Jiangxi,7
Shandong Province,Shandong,8
Jiangsu Province,Jiangsu,9
Chongqing,Chongqing,10
Sichuan Province,Sichuan,11
Heilongjiang Province,Heilongjiang,12
Beijing,Beijing,13
Shanghai,Shanghai,14
Hebei Province,Hebei,15
Fujian Province,Fujian,16
Guangxi Zhuang Autonomous Region,Guangxi,17
Shaanxi Province,Shaanxi,18
Yunnan Province,Yunnan,19
Hainan,Hainan,20
Guizhou Province,Guizhou,21
Tianjin,Tianjin,22
Shanxi Province,Shanxi,23
Liaoning Province,Liaoning,24
Jilin Province,Jilin,25
Gansu province,Gansu,26
Xinjiang Uygur Autonomous Region,Xinjiang,27
Inner Mongolia Autonomous Region,Inner Mongolia,28
Ningxia Hui Autonomous Region,Ningxia,29
Qinghai Province,Qinghai,30
