province,date,n,province_name
1,0,NA,Hubei
1,1,NA,Hubei
1,2,NA,Hubei
1,3,NA,Hubei
1,4,NA,Hubei
1,5,NA,Hubei
1,6,NA,Hubei
1,7,NA,Hubei
1,8,NA,Hubei
1,9,NA,Hubei
1,10,NA,Hubei
1,11,NA,Hubei
1,12,NA,Hubei
1,13,NA,Hubei
1,14,NA,Hubei
1,15,NA,Hubei
1,16,NA,Hubei
1,17,NA,Hubei
1,18,NA,Hubei
1,19,NA,Hubei
1,20,NA,Hubei
1,21,NA,Hubei
1,22,NA,Hubei
1,23,NA,Hubei
1,24,NA,Hubei
1,25,NA,Hubei
1,26,NA,Hubei
1,27,NA,Hubei
1,28,NA,Hubei
1,29,NA,Hubei
1,30,NA,Hubei
1,31,NA,Hubei
1,32,NA,Hubei
1,33,NA,Hubei
1,34,NA,Hubei
1,35,NA,Hubei
1,36,NA,Hubei
1,37,NA,Hubei
1,38,NA,Hubei
1,39,NA,Hubei
1,40,NA,Hubei
1,41,NA,Hubei
1,42,NA,Hubei
1,43,NA,Hubei
1,44,NA,Hubei
1,45,NA,Hubei
1,46,NA,Hubei
1,47,NA,Hubei
1,48,NA,Hubei
1,49,NA,Hubei
1,50,NA,Hubei
1,51,NA,Hubei
1,52,NA,Hubei
1,53,NA,Hubei
1,54,NA,Hubei
1,55,NA,Hubei
1,56,NA,Hubei
1,57,NA,Hubei
1,58,NA,Hubei
1,59,NA,Hubei
1,60,NA,Hubei
1,61,NA,Hubei
1,62,NA,Hubei
1,63,NA,Hubei
1,64,NA,Hubei
1,65,NA,Hubei
1,66,NA,Hubei
1,67,NA,Hubei
1,68,NA,Hubei
1,69,NA,Hubei
1,70,NA,Hubei
1,71,NA,Hubei
1,72,NA,Hubei
1,73,NA,Hubei
1,74,NA,Hubei
1,75,NA,Hubei
1,76,NA,Hubei
1,77,NA,Hubei
1,78,NA,Hubei
1,79,NA,Hubei
1,80,NA,Hubei
1,81,NA,Hubei
1,82,NA,Hubei
1,83,0,Hubei
1,84,105,Hubei
1,85,212,Hubei
1,86,297,Hubei
1,87,365,Hubei
1,88,2131,Hubei
1,89,0,Hubei
1,90,1349,Hubei
1,91,903,Hubei
1,92,1347,Hubei
1,93,4024,Hubei
1,94,2345,Hubei
1,95,3156,Hubei
1,96,2987,Hubei
1,97,2447,Hubei
1,98,2841,Hubei
1,99,2147,Hubei
1,100,2531,Hubei
1,101,2097,Hubei
1,102,1638,Hubei
1,103,0,Hubei
1,104,14840,Hubei
1,105,6200,Hubei
1,106,1843,Hubei
1,107,1933,Hubei
1,108,1807,Hubei
1,109,1693,Hubei
1,110,349,Hubei
1,111,411,Hubei
1,112,220,Hubei
1,113,1422,Hubei
1,114,0,Hubei
1,115,203,Hubei
1,116,499,Hubei
1,117,401,Hubei
1,118,409,Hubei
1,119,318,Hubei
1,120,423,Hubei
1,121,570,Hubei
1,122,196,Hubei
1,123,114,Hubei
2,0,NA,Guangdong
2,1,NA,Guangdong
2,2,NA,Guangdong
2,3,NA,Guangdong
2,4,NA,Guangdong
2,5,NA,Guangdong
2,6,NA,Guangdong
2,7,NA,Guangdong
2,8,NA,Guangdong
2,9,NA,Guangdong
2,10,NA,Guangdong
2,11,NA,Guangdong
2,12,NA,Guangdong
2,13,NA,Guangdong
2,14,NA,Guangdong
2,15,NA,Guangdong
2,16,NA,Guangdong
2,17,NA,Guangdong
2,18,NA,Guangdong
2,19,NA,Guangdong
2,20,NA,Guangdong
2,21,NA,Guangdong
2,22,NA,Guangdong
2,23,NA,Guangdong
2,24,NA,Guangdong
2,25,NA,Guangdong
2,26,NA,Guangdong
2,27,NA,Guangdong
2,28,NA,Guangdong
2,29,NA,Guangdong
2,30,NA,Guangdong
2,31,NA,Guangdong
2,32,NA,Guangdong
2,33,NA,Guangdong
2,34,NA,Guangdong
2,35,NA,Guangdong
2,36,NA,Guangdong
2,37,NA,Guangdong
2,38,NA,Guangdong
2,39,NA,Guangdong
2,40,NA,Guangdong
2,41,NA,Guangdong
2,42,NA,Guangdong
2,43,NA,Guangdong
2,44,NA,Guangdong
