date,province_raw,n,province,date_full
0,Hubei,0,1,2019-11-01
1,Hubei,0,1,2019-11-02
2,Hubei,0,1,2019-11-03
3,Hubei,0,1,2019-11-04
4,Hubei,0,1,2019-11-05
5,Hubei,0,1,2019-11-06
6,Hubei,0,1,2019-11-07
7,Hubei,0,1,2019-11-08
8,Hubei,0,1,2019-11-09
9,Hubei,0,1,2019-11-10
10,Hubei,0,1,2019-11-11
11,Hubei,0,1,2019-11-12
12,Hubei,0,1,2019-11-13
13,Hubei,0,1,2019-11-14
14,Hubei,0,1,2019-11-15
15,Hubei,0,1,2019-11-16
16,Hubei,0,1,2019-11-17
17,Hubei,0,1,2019-11-18
18,Hubei,0,1,2019-11-19
19,Hubei,0,1,2019-11-20
20,Hubei,0,1,2019-11-21
21,Hubei,0,1,2019-11-22
22,Hubei,0,1,2019-11-23
23,Hubei,0,1,2019-11-24
24,Hubei,0,1,2019-11-25
25,Hubei,0,1,2019-11-26
26,Hubei,0,1,2019-11-27
27,Hubei,0,1,2019-11-28
28,Hubei,0,1,2019-11-29
29,Hubei,0,1,2019-11-30
30,Hubei,0,1,2019-12-01
31,Hubei,0,1,2019-12-02
32,Hubei,0,1,2019-12-03
33,Hubei,0,1,2019-12-04
34,Hubei,0,1,2019-12-05
35,Hubei,0,1,2019-12-06
36,Hubei,0,1,2019-12-07
37,Hubei,0,1,2019-12-08
38,Hubei,0,1,2019-12-09
39,Hubei,0,1,2019-12-10
40,Hubei,0,1,2019-12-11
41,Hubei,0,1,2019-12-12
42,Hubei,0,1,2019-12-13
43,Hubei,0,1,2019-12-14
44,Hubei,0,1,2019-12-15
45,Hubei,0,1,2019-12-16
46,Hubei,0,1,2019-12-17
47,Hubei,0,1,2019-12-18
48,Hubei,0,1,2019-12-19
49,Hubei,0,1,2019-12-20
50,Hubei,0,1,2019-12-21
51,Hubei,0,1,2019-12-22
52,Hubei,0,1,2019-12-23
53,Hubei,0,1,2019-12-24
54,Hubei,0,1,2019-12-25
55,Hubei,0,1,2019-12-26
56,Hubei,0,1,2019-12-27
57,Hubei,0,1,2019-12-28
58,Hubei,0,1,2019-12-29
59,Hubei,0,1,2019-12-30
60,Hubei,0,1,2019-12-31
61,Hubei,0,1,2020-01-01
62,Hubei,0,1,2020-01-02
63,Hubei,0,1,2020-01-03
64,Hubei,0,1,2020-01-04
65,Hubei,0,1,2020-01-05
66,Hubei,0,1,2020-01-06
67,Hubei,0,1,2020-01-07
68,Hubei,0,1,2020-01-08
69,Hubei,0,1,2020-01-09
70,Hubei,0,1,2020-01-10
71,Hubei,0,1,2020-01-11
72,Hubei,0,1,2020-01-12
73,Hubei,0,1,2020-01-13
74,Hubei,0,1,2020-01-14
75,Hubei,0,1,2020-01-15
76,Hubei,4,1,2020-01-16
77,Hubei,17,1,2020-01-17
78,Hubei,59,1,2020-01-18
79,Hubei,77,1,2020-01-19
80,Hubei,72,1,2020-01-20
81,Hubei,105,1,2020-01-21
82,Hubei,69,1,2020-01-22
83,Hubei,105,1,2020-01-23
84,Hubei,180,1,2020-01-24
85,Hubei,323,1,2020-01-25
86,Hubei,371,1,2020-01-26
87,Hubei,1291,1,2020-01-27
88,Hubei,840,1,2020-01-28
89,Hubei,1032,1,2020-01-29
90,Hubei,1220,1,2020-01-30
91,Hubei,1347,1,2020-01-31
92,Hubei,1921,1,2020-02-01
93,Hubei,2103,1,2020-02-02
94,Hubei,2345,1,2020-02-03
95,Hubei,3156,1,2020-02-04
96,Hubei,2987,1,2020-02-05
97,Hubei,2987,1,2020-02-06
98,Hubei,2841,1,2020-02-07
99,Hubei,2147,1,2020-02-08
100,Hubei,2618,1,2020-02-09
101,Hubei,2097,1,2020-02-10
102,Hubei,1638,1,2020-02-11
103,Hubei,14840,1,2020-02-12
104,Hubei,4823,1,2020-02-13
105,Hubei,2420,1,2020-02-14
106,Hubei,1843,1,2020-02-15
107,Hubei,1933,1,2020-02-16
108,Hubei,1807,1,2020-02-17
109,Hubei,1693,1,2020-02-18
110,Hubei,349,1,2020-02-19
111,Hubei,631,1,2020-02-20
112,Hubei,366,1,2020-02-21
113,Hubei,630,1,2020-02-22
114,Hubei,398,1,2020-02-23
115,Hubei,499,1,2020-02-24
116,Hubei,401,1,2020-02-25
117,Hubei,409,1,2020-02-26
118,Hubei,318,1,2020-02-27
119,Hubei,423,1,2020-02-28
120,Hubei,570,1,2020-02-29
121,Hubei,196,1,2020-03-01
122,Hubei,114,1,2020-03-02
123,Hubei,115,1,2020-03-03
124,Hubei,134,1,2020-03-04
126,Hubei,74,1,2020-03-06
127,Hubei,41,1,2020-03-07
128,Hubei,36,1,2020-03-08
129,Hubei,17,1,2020-03-09
130,Hubei,13,1,2020-03-10
131,Hubei,8,1,2020-03-11
132,Hubei,5,1,2020-03-12
133,Hubei,4,1,2020-03-13
134,Hubei,4,1,2020-03-14
135,Hubei,4,1,2020-03-15
136,Hubei,1,1,2020-03-16
137,Hubei,1,1,2020-03-17
138,Hubei,0,1,2020-03-18
139,Hubei,0,1,2020-03-19
140,Hubei,0,1,2020-03-20
141,Hubei,0,1,2020-03-21
142,Hubei,0,1,2020-03-22
143,Hubei,1,1,2020-03-23
144,Hubei,0,1,2020-03-24
145,Hubei,0,1,2020-03-25
146,Hubei,0,1,2020-03-26
147,Hubei,0,1,2020-03-27
148,Hubei,0,1,2020-03-28
149,Hubei,0,1,2020-03-29
150,Hubei,0,1,2020-03-30
151,Hubei,1,1,2020-03-31
152,Hubei,0,1,2020-04-01
153,Hubei,0,1,2020-04-02
154,Hubei,1,1,2020-04-03
155,Hubei,0,1,2020-04-04
156,Hubei,0,1,2020-04-05
157,Hubei,0,1,2020-04-06
158,Hubei,0,1,2020-04-07
159,Hubei,0,1,2020-04-08
160,Hubei,0,1,2020-04-09
161,Hubei,0,1,2020-04-10
162,Hubei,0,1,2020-04-11
163,Hubei,0,1,2020-04-12
164,Hubei,0,1,2020-04-13
165,Hubei,0,1,2020-04-14
166,Hubei,0,1,2020-04-15
167,Hubei,0,1,2020-04-16
168,Hubei,0,1,2020-04-17
169,Hubei,0,1,2020-04-18
170,Hubei,0,1,2020-04-19
171,Hubei,0,1,2020-04-20
172,Hubei,0,1,2020-04-21
173,Hubei,0,1,2020-04-22
174,Hubei,0,1,2020-04-23
175,Hubei,0,1,2020-04-24
176,Hubei,0,1,2020-04-25
177,Hubei,0,1,2020-04-26
178,Hubei,0,1,2020-04-27
179,Hubei,0,1,2020-04-28
180,Hubei,0,1,2020-04-29
181,Hubei,0,1,2020-04-30
182,Hubei,0,1,2020-05-01
183,Hubei,0,1,2020-05-02
184,Hubei,0,1,2020-05-03
185,Hubei,0,1,2020-05-04
186,Hubei,0,1,2020-05-05
187,Hubei,0,1,2020-05-06
188,Hubei,0,1,2020-05-07
189,Hubei,0,1,2020-05-08
190,Hubei,1,1,2020-05-09
191,Hubei,5,1,2020-05-10
192,Hubei,0,1,2020-05-11
193,Hubei,0,1,2020-05-12
194,Hubei,0,1,2020-05-13
195,Hubei,0,1,2020-05-14
196,Hubei,0,1,2020-05-15
197,Hubei,0,1,2020-05-16
198,Hubei,0,1,2020-05-17
199,Hubei,1,1,2020-05-18
200,Hubei,0,1,2020-05-19
201,Hubei,0,1,2020-05-20
202,Hubei,0,1,2020-05-21
203,Hubei,0,1,2020-05-22
204,Hubei,0,1,2020-05-23
205,Hubei,0,1,2020-05-24
206,Hubei,0,1,2020-05-25
207,Hubei,0,1,2020-05-26
208,Hubei,0,1,2020-05-27
209,Hubei,0,1,2020-05-28
210,Hubei,0,1,2020-05-29
211,Hubei,0,1,2020-05-30
212,Hubei,0,1,2020-05-31
213,Hubei,0,1,2020-06-01
214,Hubei,0,1,2020-06-02
215,Hubei,0,1,2020-06-03
216,Hubei,0,1,2020-06-04
217,Hubei,0,1,2020-06-05
218,Hubei,0,1,2020-06-06
219,Hubei,0,1,2020-06-07
220,Hubei,0,1,2020-06-08
221,Hubei,0,1,2020-06-09
222,Hubei,0,1,2020-06-10
223,Hubei,0,1,2020-06-11
224,Hubei,0,1,2020-06-12
225,Hubei,0,1,2020-06-13
226,Hubei,0,1,2020-06-14
227,Hubei,0,1,2020-06-15
228,Hubei,0,1,2020-06-16
0,Guangdong,0,2,2019-11-01
1,Guangdong,0,2,2019-11-02
2,Guangdong,0,2,2019-11-03
3,Guangdong,0,2,2019-11-04
4,Guangdong,0,2,2019-11-05
5,Guangdong,0,2,2019-11-06
6,Guangdong,0,2,2019-11-07
7,Guangdong,0,2,2019-11-08
8,Guangdong,0,2,2019-11-09
9,Guangdong,0,2,2019-11-10
10,Guangdong,0,2,2019-11-11
11,Guangdong,0,2,2019-11-12
12,Guangdong,0,2,2019-11-13
13,Guangdong,0,2,2019-11-14
14,Guangdong,0,2,2019-11-15
15,Guangdong,0,2,2019-11-16
16,Guangdong,0,2,2019-11-17
17,Guangdong,0,2,2019-11-18
18,Guangdong,0,2,2019-11-19
19,Guangdong,0,2,2019-11-20
20,Guangdong,0,2,2019-11-21
21,Guangdong,0,2,2019-11-22
22,Guangdong,0,2,2019-11-23
23,Guangdong,0,2,2019-11-24
24,Guangdong,0,2,2019-11-25
25,Guangdong,0,2,2019-11-26
26,Guangdong,0,2,2019-11-27
27,Guangdong,0,2,2019-11-28
28,Guangdong,0,2,2019-11-29
29,Guangdong,0,2,2019-11-30
30,Guangdong,0,2,2019-12-01
31,Guangdong,0,2,2019-12-02
32,Guangdong,0,2,2019-12-03
33,Guangdong,0,2,2019-12-04
34,Guangdong,0,2,2019-12-05
35,Guangdong,0,2,2019-12-06
36,Guangdong,0,2,2019-12-07
37,Guangdong,0,2,2019-12-08
38,Guangdong,0,2,2019-12-09
39,Guangdong,0,2,2019-12-10
40,Guangdong,0,2,2019-12-11
41,Guangdong,0,2,2019-12-12
42,Guangdong,0,2,2019-12-13
43,Guangdong,0,2,2019-12-14
44,Guangdong,0,2,2019-12-15
45,Guangdong,0,2,2019-12-16
46,Guangdong,0,2,2019-12-17
47,Guangdong,0,2,2019-12-18
48,Guangdong,0,2,2019-12-19
49,Guangdong,0,2,2019-12-20
50,Guangdong,0,2,2019-12-21
51,Guangdong,0,2,2019-12-22
52,Guangdong,0,2,2019-12-23
53,Guangdong,0,2,2019-12-24
54,Guangdong,0,2,2019-12-25
55,Guangdong,0,2,2019-12-26
56,Guangdong,0,2,2019-12-27
57,Guangdong,0,2,2019-12-28
58,Guangdong,0,2,2019-12-29
59,Guangdong,0,2,2019-12-30
60,Guangdong,0,2,2019-12-31
61,Guangdong,0,2,2020-01-01
62,Guangdong,0,2,2020-01-02
63,Guangdong,0,2,2020-01-03
64,Guangdong,0,2,2020-01-04
65,Guangdong,0,2,2020-01-05
66,Guangdong,0,2,2020-01-06
67,Guangdong,0,2,2020-01-07
68,Guangdong,0,2,2020-01-08
69,Guangdong,0,2,2020-01-09
70,Guangdong,0,2,2020-01-10
71,Guangdong,0,2,2020-01-11
72,Guangdong,0,2,2020-01-12
73,Guangdong,0,2,2020-01-13
74,Guangdong,0,2,2020-01-14
75,Guangdong,0,2,2020-01-15
76,Guangdong,0,2,2020-01-16
77,Guangdong,0,2,2020-01-17
78,Guangdong,0,2,2020-01-18
79,Guangdong,0,2,2020-01-19
80,Guangdong,0,2,2020-01-20
81,Guangdong,12,2,2020-01-21
82,Guangdong,6,2,2020-01-22
83,Guangdong,21,2,2020-01-23
84,Guangdong,25,2,2020-01-24
85,Guangdong,20,2,2020-01-25
86,Guangdong,48,2,2020-01-26
87,Guangdong,42,2,2020-01-27
88,Guangdong,53,2,2020-01-28
89,Guangdong,70,2,2020-01-29
90,Guangdong,82,2,2020-01-30
91,Guangdong,127,2,2020-01-31
92,Guangdong,85,2,2020-02-01
93,Guangdong,79,2,2020-02-02
94,Guangdong,114,2,2020-02-03
95,Guangdong,73,2,2020-02-04
96,Guangdong,74,2,2020-02-05
97,Guangdong,74,2,2020-02-06
98,Guangdong,57,2,2020-02-07
99,Guangdong,45,2,2020-02-08
100,Guangdong,31,2,2020-02-09
101,Guangdong,26,2,2020-02-10
102,Guangdong,42,2,2020-02-11
103,Guangdong,22,2,2020-02-12
104,Guangdong,20,2,2020-02-13
105,Guangdong,33,2,2020-02-14
106,Guangdong,22,2,2020-02-15
107,Guangdong,6,2,2020-02-16
108,Guangdong,6,2,2020-02-17
109,Guangdong,3,2,2020-02-18
110,Guangdong,1,2,2020-02-19
111,Guangdong,1,2,2020-02-20
112,Guangdong,6,2,2020-02-21
113,Guangdong,3,2,2020-02-22
114,Guangdong,3,2,2020-02-23
115,Guangdong,2,2,2020-02-24
116,Guangdong,0,2,2020-02-25
117,Guangdong,0,2,2020-02-26
118,Guangdong,1,2,2020-02-27
119,Guangdong,1,2,2020-02-28
120,Guangdong,0,2,2020-02-29
121,Guangdong,1,2,2020-03-01
122,Guangdong,0,2,2020-03-02
123,Guangdong,0,2,2020-03-03
124,Guangdong,0,2,2020-03-04
126,Guangdong,1,2,2020-03-06
127,Guangdong,0,2,2020-03-07
128,Guangdong,0,2,2020-03-08
129,Guangdong,1,2,2020-03-09
130,Guangdong,0,2,2020-03-10
131,Guangdong,3,2,2020-03-11
132,Guangdong,0,2,2020-03-12
133,Guangdong,0,2,2020-03-13
134,Guangdong,1,2,2020-03-14
135,Guangdong,4,2,2020-03-15
136,Guangdong,3,2,2020-03-16
137,Guangdong,5,2,2020-03-17
138,Guangdong,9,2,2020-03-18
139,Guangdong,14,2,2020-03-19
140,Guangdong,7,2,2020-03-20
141,Guangdong,8,2,2020-03-21
142,Guangdong,6,2,2020-03-22
143,Guangdong,15,2,2020-03-23
144,Guangdong,5,2,2020-03-24
145,Guangdong,11,2,2020-03-25
146,Guangdong,12,2,2020-03-26
147,Guangdong,11,2,2020-03-27
148,Guangdong,8,2,2020-03-28
149,Guangdong,9,2,2020-03-29
150,Guangdong,6,2,2020-03-30
151,Guangdong,11,2,2020-03-31
152,Guangdong,6,2,2020-04-01
