province_raw,province
Beijing,Beijing
Tianjin,Tianjin
Hebei Province,Hebei
Shanxi Province,Shanxi
Inner Mongolia Autonomous Region,Inner Mongolia
Liaoning Province,Liaoning
Jilin Province,Jilin
Heilongjiang Province,Heilongjiang
Shanghai,Shanghai
Jiangsu Province,Jiangsu
Zhejiang Province,Zhejiang
Anhui Province,Anhui
Fujian Province,Fujian
Jiangxi Province,Jiangxi
Shandong Province,Shandong
Henan Province,Henan
Hubei Province,Hubei
Hunan Province,Hunan
Guangdong Province,Guangdong
Guangxi Zhuang Autonomous Region,Guangxi
Hainan,Hainan
Chongqing,Chongqing
Sichuan Province,Sichuan
Guizhou Province,Guizhou
Yunnan Province,Yunnan
Tibet Autonomous Region,Tibet
Shaanxi Province,Shaanxi
Gansu province,Gansu
Qinghai Province,Qinghai
Ningxia Hui Autonomous Region,Ningxia
Xinjiang Uygur Autonomous Region,Xinjiang
Taiwan Province,Taiwan
Hong Kong Special Administrative Region,Hong Kong
Macau Special Administrative Region,Macau
