"sampno","shape","scale","size","weibull_alpha","weibull_sigma","imports_stop","export_prob","serial_interval","lnorm_mean","lnorm_sd","serial_interval_gamma_par1","serial_interval_gamma_par2","t_switch","K","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","lnlike"
1,2.88998954347335,3.27732069883496,500,2.5,6,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,0.399994368897751,0,0,1e-05,0.325352151878178,0,0,1e-05,0.757087148027495,0,0,1e-05,0.202692255144939,0,0,1e-05,0.711121222469956,0,0,1e-05,0.121691921027377,0,0,1e-05,0.245488513959572,0,0,1e-05,0.14330437942408,0,0,1e-05,0.239629415096715,0,0,1e-05,0.0589343772735447,0,0,1e-05,0.642288258532062,0,0,1e-05,0.876269212691113,0,0,1e-05,0.778914677444845,0,0,1e-05,0.79730882588774,0,0,1e-05,0.455274453619495,0,0,1e-05,0.410084082046524,0,0,1e-05,0.810870242770761,0,0,1e-05,0.604933290276676,0,0,1e-05,0.654723928077146,0,0,1e-05,0.353197271935642,0,0,1e-05,0.270260145887733,0,0,1e-05,0.99268406117335,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.129372348077595,-15336.1588494523
11,2.88998954347335,3.54039015132003,500,2.5,6,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,0.399994368897751,0,0,1e-05,0.594626732869074,0,0,1e-05,0.757087148027495,0,0,1e-05,0.202692255144939,0,0,1e-05,0.366781606106088,0,0,1e-05,0.121691921027377,0,0,1e-05,0.245488513959572,0,0,1e-05,0.14330437942408,0,0,1e-05,0.239629415096715,0,0,1e-05,0.0589343772735447,0,0,1e-05,0.642288258532062,0,0,1e-05,0.876269212691113,0,0,1e-05,0.778914677444845,0,0,1e-05,0.79730882588774,0,0,1e-05,0.455274453619495,0,0,1e-05,0.410084082046524,0,0,1e-05,0.810870242770761,0,0,1e-05,0.604933290276676,0,0,1e-05,0.654723928077146,0,0,1e-05,0.353197271935642,0,0,1e-05,0.270260145887733,0,0,1e-05,0.99268406117335,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.129372348077595,-14436.6030585161
21,2.88998954347335,3.54039015132003,500,2.5,6,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,0.399994368897751,0,0,1e-05,0.594626732869074,0,0,1e-05,0.757087148027495,0,0,1e-05,0.202692255144939,0,0,1e-05,0.366781606106088,0,0,1e-05,0.121691921027377,0,0,1e-05,0.218172899214551,0,0,1e-05,0.302864444209263,0,0,1e-05,0.23711654660292,0,0,1e-05,0.0589343772735447,0,0,1e-05,0.834944627247751,0,0,1e-05,0.425118912011385,0,0,1e-05,0.778914677444845,0,0,1e-05,0.79730882588774,0,0,1e-05,0.455274453619495,0,0,1e-05,0.410084082046524,0,0,1e-05,0.810870242770761,0,0,1e-05,0.604933290276676,0,0,1e-05,0.654723928077146,0,0,1e-05,0.353197271935642,0,0,1e-05,0.270260145887733,0,0,1e-05,0.99268406117335,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.129372348077595,-14065.8943259364
31,2.88998954347335,3.54039015132003,500,2.5,6,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,0.399994368897751,0,0,1e-05,0.594626732869074,0,0,1e-05,0.757087148027495,0,0,1e-05,0.202692255144939,0,0,1e-05,0.366781606106088,0,0,1e-05,0.121691921027377,0,0,1e-05,0.218172899214551,0,0,1e-05,0.302864444209263,0,0,1e-05,0.23711654660292,0,0,1e-05,0.0589343772735447,0,0,1e-05,0.834944627247751,0,0,1e-05,0.425118912011385,0,0,1e-05,0.778914677444845,0,0,1e-05,0.79730882588774,0,0,1e-05,0.455274453619495,0,0,1e-05,0.410084082046524,0,0,1e-05,0.810870242770761,0,0,1e-05,0.496864492073655,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.270260145887733,0,0,1e-05,0.530377217801288,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.00859567546285687,-12498.3890043897
41,2.88998954347335,3.5482384103816,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,0.680126311257482,0,0,1e-05,0.651401225011796,0,0,1e-05,0.371421759715304,0,0,1e-05,0.653837135061622,0,0,1e-05,0.338092314079404,0,0,1e-05,0.121691921027377,0,0,1e-05,0.218172899214551,0,0,1e-05,0.302864444209263,0,0,1e-05,0.23711654660292,0,0,1e-05,0.0589343772735447,0,0,1e-05,0.834944627247751,0,0,1e-05,0.425118912011385,0,0,1e-05,0.778914677444845,0,0,1e-05,0.79730882588774,0,0,1e-05,0.455274453619495,0,0,1e-05,0.410084082046524,0,0,1e-05,0.810870242770761,0,0,1e-05,0.496864492073655,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.270260145887733,0,0,1e-05,0.530377217801288,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.00859567546285687,-5722.33372213175
51,2.88998954347335,3.5482384103816,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,0.680126311257482,0,0,1e-05,0.651401225011796,0,0,1e-05,0.371421759715304,0,0,1e-05,0.653837135061622,0,0,1e-05,0.338092314079404,0,0,1e-05,0.2208092068322,0,0,1e-05,0.0197696869727224,0,0,1e-05,0.302864444209263,0,0,1e-05,0.23711654660292,0,0,1e-05,0.3871656130068,0,0,1e-05,0.834944627247751,0,0,1e-05,0.425118912011385,0,0,1e-05,0.778914677444845,0,0,1e-05,0.79730882588774,0,0,1e-05,0.257703613024205,0,0,1e-05,0.410084082046524,0,0,1e-05,0.810870242770761,0,0,1e-05,0.496864492073655,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.270260145887733,0,0,1e-05,0.530377217801288,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.00859567546285687,-5678.87451334203
61,2.88998954347335,3.5482384103816,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,0.680126311257482,0,0,1e-05,0.651401225011796,0,0,1e-05,0.371421759715304,0,0,1e-05,0.653837135061622,0,0,1e-05,0.338092314079404,0,0,1e-05,0.2208092068322,0,0,1e-05,0.0197696869727224,0,0,1e-05,0.302864444209263,0,0,1e-05,0.23711654660292,0,0,1e-05,0.3871656130068,0,0,1e-05,0.834944627247751,0,0,1e-05,0.425118912011385,0,0,1e-05,0.778914677444845,0,0,1e-05,0.79730882588774,0,0,1e-05,0.257703613024205,0,0,1e-05,0.410084082046524,0,0,1e-05,0.699968708446249,0,0,1e-05,0.807727808132768,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.641945956973359,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.0878775042947382,-5619.76310431297
71,2.88998954347335,4.01011642324738,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.01798865711316,0,0,1e-05,0.999591026455164,0,0,1e-05,0.4673855912406,0,0,1e-05,0.653837135061622,0,0,1e-05,0.228996533202007,0,0,1e-05,0.2208092068322,0,0,1e-05,0.0197696869727224,0,0,1e-05,0.302864444209263,0,0,1e-05,0.23711654660292,0,0,1e-05,0.3871656130068,0,0,1e-05,0.834944627247751,0,0,1e-05,0.425118912011385,0,0,1e-05,0.778914677444845,0,0,1e-05,0.79730882588774,0,0,1e-05,0.257703613024205,0,0,1e-05,0.410084082046524,0,0,1e-05,0.699968708446249,0,0,1e-05,0.807727808132768,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.641945956973359,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.0878775042947382,-5001.69137588803
81,2.88998954347335,4.01011642324738,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.01798865711316,0,0,1e-05,0.999591026455164,0,0,1e-05,0.4673855912406,0,0,1e-05,0.653837135061622,0,0,1e-05,0.228996533202007,0,0,1e-05,0.2208092068322,0,0,1e-05,0.0197696869727224,0,0,1e-05,0.302864444209263,0,0,1e-05,0.462843868182972,0,0,1e-05,0.820518997032195,0,0,1e-05,1.12153544602916,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.440390752395615,0,0,1e-05,0.257703613024205,0,0,1e-05,0.410084082046524,0,0,1e-05,0.699968708446249,0,0,1e-05,0.807727808132768,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.641945956973359,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.0878775042947382,-4868.08884097538
91,2.88998954347335,4.01011642324738,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.01798865711316,0,0,1e-05,0.999591026455164,0,0,1e-05,0.4673855912406,0,0,1e-05,0.653837135061622,0,0,1e-05,0.228996533202007,0,0,1e-05,0.2208092068322,0,0,1e-05,0.0197696869727224,0,0,1e-05,0.302864444209263,0,0,1e-05,0.462843868182972,0,0,1e-05,0.820518997032195,0,0,1e-05,1.12153544602916,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.440390752395615,0,0,1e-05,0.257703613024205,0,0,1e-05,0.410084082046524,0,0,1e-05,0.529046843526885,0,0,1e-05,0.807727808132768,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.641945956973359,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.0878775042947382,-4846.66760121302
