sampno,shape,scale,size,weibull_alpha,weibull_sigma,imports_stop,export_prob,serial_interval,lnorm_mean,lnorm_sd,serial_interval_gamma_par1,serial_interval_gamma_par2,t_switch,K,growth_rate,i0,t0,local_r,growth_rate.1,i0.1,t0.1,local_r.1,growth_rate.2,i0.2,t0.2,local_r.2,growth_rate.3,i0.3,t0.3,local_r.3,growth_rate.4,i0.4,t0.4,local_r.4,growth_rate.5,i0.5,t0.5,local_r.5,growth_rate.6,i0.6,t0.6,local_r.6,growth_rate.7,i0.7,t0.7,local_r.7,growth_rate.8,i0.8,t0.8,local_r.8,growth_rate.9,i0.9,t0.9,local_r.9,growth_rate.10,i0.10,t0.10,local_r.10,growth_rate.11,i0.11,t0.11,local_r.11,growth_rate.12,i0.12,t0.12,local_r.12,growth_rate.13,i0.13,t0.13,local_r.13,growth_rate.14,i0.14,t0.14,local_r.14,growth_rate.15,i0.15,t0.15,local_r.15,growth_rate.16,i0.16,t0.16,local_r.16,growth_rate.17,i0.17,t0.17,local_r.17,growth_rate.18,i0.18,t0.18,local_r.18,growth_rate.19,i0.19,t0.19,local_r.19,growth_rate.20,i0.20,t0.20,local_r.20,growth_rate.21,i0.21,t0.21,local_r.21,growth_rate.22,i0.22,t0.22,local_r.22,growth_rate.23,i0.23,t0.23,local_r.23,growth_rate.24,i0.24,t0.24,local_r.24,growth_rate.25,i0.25,t0.25,local_r.25,lnlike
1,5.22557569694991,2.11871981626256,500,1.58203265738607,5.3150470818209,54,1,4,1.4,0.466,5.23,0.87,48,244203.962727346,0.25,1,37,0,0,0,1e-5,2.33444091131964,0,0,1e-5,3.79064803323347,0,0,1e-5,1.05298055707694,0,0,1e-5,2.0749356153102,0,0,1e-5,0.397575306338953,0,0,1e-5,0.826071736750016,0,0,1e-5,0.392294310626712,0,0,1e-5,4.71780650858781,0,0,1e-5,1.3325393839077,0,0,1e-5,2.3612004041366,0,0,1e-5,7.77319951495776,0,0,1e-5,1.18721518963422,0,0,1e-5,0.546094252385421,0,0,1e-5,1.00388724170577,0,0,1e-5,0.121438468564566,0,0,1e-5,0.769281554200697,0,0,1e-5,1.05466305843696,0,0,1e-5,1.77422048991992,0,0,1e-5,0.617542445424693,0,0,1e-5,0.136208563003057,0,0,1e-5,0.699228241433912,0,0,1e-5,0.564899220149813,0,0,1e-5,5.01273212047324,0,0,1e-5,0.999597053687177,0,0,1e-5,1.70935858941086,-2925.85524577037
2,5.22557569694991,2.11871981626256,500,1.58203265738607,5.3150470818209,54,1,4,1.4,0.466,5.23,0.87,48,244203.962727346,0.25,1,37,0,0,0,1e-5,2.33444091131964,0,0,1e-5,3.79064803323347,0,0,1e-5,1.05298055707694,0,0,1e-5,2.0749356153102,0,0,1e-5,0.397575306338953,0,0,1e-5,0.817913995789383,0,0,1e-5,0.392294310626712,0,0,1e-5,5.01762018286027,0,0,1e-5,1.25010029097745,0,0,1e-5,2.3612004041366,0,0,1e-5,7.77319951495776,0,0,1e-5,1.18721518963422,0,0,1e-5,0.546094252385421,0,0,1e-5,0.760837328470979,0,0,1e-5,0.351643491890538,0,0,1e-5,0.909576787041841,0,0,1e-5,1.14072069684214,0,0,1e-5,1.76469177376816,0,0,1e-5,0.617542445424693,0,0,1e-5,0.174485028928573,0,0,1e-5,3.27959041117856,0,0,1e-5,0.564899220149813,0,0,1e-5,4.60578610397881,0,0,1e-5,1.14398915003555,0,0,1e-5,2.09024445950332,-2930.55271831487
3,5.28380299596321,2.11871981626256,500,1.58203265738607,5.43536817674624,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,2.30510773930592,0,0,1e-5,4.33242633556588,0,0,1e-5,1.22515870654982,0,0,1e-5,2.0749356153102,0,0,1e-5,0.418782457921487,0,0,1e-5,0.98931257757027,0,0,1e-5,0.373280002111264,0,0,1e-5,5.01762018286027,0,0,1e-5,1.35446718961122,0,0,1e-5,2.08901455852441,0,0,1e-5,7.77319951495776,0,0,1e-5,1.18721518963422,0,0,1e-5,0.546094252385421,0,0,1e-5,0.850531907870462,0,0,1e-5,0.351643491890538,0,0,1e-5,0.909576787041841,0,0,1e-5,1.14072069684214,0,0,1e-5,1.71545066734762,0,0,1e-5,0.586413496232388,0,0,1e-5,0.174485028928573,0,0,1e-5,3.27959041117856,0,0,1e-5,0.669735514809854,0,0,1e-5,4.60578610397881,0,0,1e-5,1.14398915003555,0,0,1e-5,2.09024445950332,-2917.35019316565
4,5.28380299596321,2.11871981626256,500,1.58203265738607,5.43536817674624,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,2.30510773930592,0,0,1e-5,4.33242633556588,0,0,1e-5,1.22515870654982,0,0,1e-5,2.0749356153102,0,0,1e-5,0.418782457921487,0,0,1e-5,0.98931257757027,0,0,1e-5,0.391638663376491,0,0,1e-5,4.88731803145404,0,0,1e-5,1.35446718961122,0,0,1e-5,1.76102791370375,0,0,1e-5,7.97115703465883,0,0,1e-5,1.09452060114591,0,0,1e-5,0.546094252385421,0,0,1e-5,0.958035051418855,0,0,1e-5,0.351643491890538,0,0,1e-5,0.796912424545087,0,0,1e-5,1.14072069684214,0,0,1e-5,1.71545066734762,0,0,1e-5,0.558292124827427,0,0,1e-5,0.174485028928573,0,0,1e-5,3.27959041117856,0,0,1e-5,0.669735514809854,0,0,1e-5,4.60578610397881,0,0,1e-5,1.08852250766156,0,0,1e-5,2.09024445950332,-2918.29561352466
5,5.28380299596321,2.11871981626256,500,1.58203265738607,5.54997844711061,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,2.14695353249809,0,0,1e-5,4.92018647566571,0,0,1e-5,1.02609689463572,0,0,1e-5,2.16644448918308,0,0,1e-5,0.418782457921487,0,0,1e-5,0.98931257757027,0,0,1e-5,0.285371113138178,0,0,1e-5,4.68000808561563,0,0,1e-5,1.35446718961122,0,0,1e-5,1.16066850273917,0,0,1e-5,7.75930249185615,0,0,1e-5,1.17214293459702,0,0,1e-5,0.546094252385421,0,0,1e-5,1.2203361573159,0,0,1e-5,0.041132327915727,0,0,1e-5,0.796912424545087,0,0,1e-5,1.14072069684214,0,0,1e-5,1.71545066734762,0,0,1e-5,0.558292124827427,0,0,1e-5,0.174485028928573,0,0,1e-5,3.27959041117856,0,0,1e-5,0.669735514809854,0,0,1e-5,4.60578610397881,0,0,1e-5,1.08852250766156,0,0,1e-5,2.09024445950332,-2917.87273231092
6,5.27791187734245,2.10247270139315,500,1.58187441997357,5.54997844711061,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,2.14695353249809,0,0,1e-5,5.23346649978836,0,0,1e-5,0.992946752911871,0,0,1e-5,2.12124715145526,0,0,1e-5,0.418782457921487,0,0,1e-5,0.98931257757027,0,0,1e-5,0.51281713953157,0,0,1e-5,5.0111588924258,0,0,1e-5,1.35446718961122,0,0,1e-5,1.07884119477765,0,0,1e-5,7.75930249185615,0,0,1e-5,1.17214293459702,0,0,1e-5,0.622068419707896,0,0,1e-5,1.20263033455718,0,0,1e-5,0.236133961789551,0,0,1e-5,0.839268450767824,0,0,1e-5,1.23134522434579,0,0,1e-5,1.7437598653554,0,0,1e-5,0.592516000609729,0,0,1e-5,0.174485028928573,0,0,1e-5,3.27959041117856,0,0,1e-5,0.772594145423028,0,0,1e-5,4.60578610397881,0,0,1e-5,0.95143779730737,0,0,1e-5,2.09024445950332,-2917.22077371178
7,5.27791187734245,2.10247270139315,500,1.58187441997357,5.54997844711061,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,2.14695353249809,0,0,1e-5,5.23346649978836,0,0,1e-5,0.992946752911871,0,0,1e-5,2.12124715145526,0,0,1e-5,0.418782457921487,0,0,1e-5,0.98931257757027,0,0,1e-5,0.51281713953157,0,0,1e-5,5.0111588924258,0,0,1e-5,1.35446718961122,0,0,1e-5,1.07884119477765,0,0,1e-5,7.75930249185615,0,0,1e-5,1.17214293459702,0,0,1e-5,0.622068419707896,0,0,1e-5,1.20263033455718,0,0,1e-5,0.236133961789551,0,0,1e-5,0.616007127674812,0,0,1e-5,1.10579578008728,0,0,1e-5,1.7437598653554,0,0,1e-5,0.592516000609729,0,0,1e-5,0.174485028928573,0,0,1e-5,3.27959041117856,0,0,1e-5,0.862681663644596,0,0,1e-5,5.984542762725,0,0,1e-5,1.16187952501195,0,0,1e-5,1.78001306381252,-2920.95697208657
8,5.27791187734245,2.10247270139315,500,1.5762732640722,5.54997844711061,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,2.13564259904448,0,0,1e-5,4.02834467298182,0,0,1e-5,0.992946752911871,0,0,1e-5,2.38003425989658,0,0,1e-5,0.470238927629557,0,0,1e-5,0.883437198418376,0,0,1e-5,0.305631297551121,0,0,1e-5,4.79895081503113,0,0,1e-5,1.35446718961122,0,0,1e-5,1.6829834615765,0,0,1e-5,7.75930249185615,0,0,1e-5,1.17214293459702,0,0,1e-5,0.622068419707896,0,0,1e-5,1.20263033455718,0,0,1e-5,0.103193885282719,0,0,1e-5,0.616007127674812,0,0,1e-5,1.10579578008728,0,0,1e-5,1.7437598653554,0,0,1e-5,0.592516000609729,0,0,1e-5,0.174485028928573,0,0,1e-5,3.27959041117856,0,0,1e-5,0.862681663644596,0,0,1e-5,5.984542762725,0,0,1e-5,1.16187952501195,0,0,1e-5,1.78001306381252,-2916.94196180429
9,5.28879717502101,2.06933924936199,500,1.5762732640722,5.54997844711061,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,2.11872464871233,0,0,1e-5,4.92632788566743,0,0,1e-5,1.21604681656451,0,0,1e-5,2.38003425989658,0,0,1e-5,0.470238927629557,0,0,1e-5,0.883437198418376,0,0,1e-5,0.305631297551121,0,0,1e-5,4.79895081503113,0,0,1e-5,1.35446718961122,0,0,1e-5,1.6829834615765,0,0,1e-5,7.75930249185615,0,0,1e-5,1.17214293459702,0,0,1e-5,0.622068419707896,0,0,1e-5,1.20263033455718,0,0,1e-5,0.103193885282719,0,0,1e-5,0.616007127674812,0,0,1e-5,1.05764563313991,0,0,1e-5,1.7437598653554,0,0,1e-5,0.565277598344035,0,0,1e-5,0.170582001740115,0,0,1e-5,2.04492866540615,0,0,1e-5,0.701445832530358,0,0,1e-5,5.984542762725,0,0,1e-5,0.972161147793508,0,0,1e-5,2.03332156868576,-2908.39046966699
10,5.28879717502101,2.06933924936199,500,1.5762732640722,5.54997844711061,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,2.11872464871233,0,0,1e-5,4.92632788566743,0,0,1e-5,1.21604681656451,0,0,1e-5,2.38003425989658,0,0,1e-5,0.470238927629557,0,0,1e-5,0.883437198418376,0,0,1e-5,0.305631297551121,0,0,1e-5,4.79895081503113,0,0,1e-5,1.22534784907792,0,0,1e-5,1.6829834615765,0,0,1e-5,7.75930249185615,0,0,1e-5,1.35863432482503,0,0,1e-5,0.530485055242411,0,0,1e-5,0.840443166014172,0,0,1e-5,0.298716259090589,0,0,1e-5,0.616007127674812,0,0,1e-5,1.05764563313991,0,0,1e-5,1.7437598653554,0,0,1e-5,0.565277598344035,0,0,1e-5,0.170582001740115,0,0,1e-5,2.04492866540615,0,0,1e-5,0.701445832530358,0,0,1e-5,5.984542762725,0,0,1e-5,0.972161147793508,0,0,1e-5,2.03332156868576,-2909.39764748747
