values,names,province,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
2.72,confirm_delay_shape,all,1,0,1000,0.1,2.5,3.5
2.702702703,confirm_delay_scale,all,1,0,1000,0.1,0.9,"1,1"
1.621,lnorm_incu_par1,all,1,0,10000,0.1,1,2
0.418,lnorm_incu_par2,all,1,0,10000,0.1,0.4,0.5
5.11,serial_interval_mean,all,0,0,100,0.1,5,7
7.2,serial_interval_var,all,0,0,100,0.1,5,7
86,t_switch,all,1,83,90,0.1,83,90
86,report_t_switch,all,1,83,90,0.1,83,90
100000,K,all,0,66773,9785388,1,100000,300000
1,local_r_mean,all,1,0,100,0.1,0,10
0.25,local_r_sd,all,1,0,100,0.1,0,10
0.25,growth_rate,1,1,0,0.5,0.1,0.15,0.25
1,i0,1,1,0,100,0.1,1,1
37,t0,1,1,0,61,0.1,31,40
0,local_r,1,1,0,1,0.1,0,1
0.370977043,local_r,2,0,0,100,0.1,0,3
0.493244481,local_r,3,0,0,100,0.1,0,3
0.347452281,local_r,4,0,0,100,0.1,0,3
0.289653662,local_r,5,0,0,100,0.1,0,3
0.548794282,local_r,6,0,0,100,0.1,0,3
0.987055309,local_r,7,0,0,100,0.1,0,3
0.569154282,local_r,8,0,0,100,0.1,0,3
0.052606602,local_r,9,0,0,100,0.1,0,3
0.692386983,local_r,10,0,0,100,0.1,0,3
0.58028021,local_r,11,0,0,100,0.1,0,3
0.417123912,local_r,12,0,0,100,0.1,0,3
0.408412727,local_r,13,0,0,100,0.1,0,3
0.1655469,local_r,14,0,0,100,0.1,0,3
0.050297264,local_r,15,0,0,100,0.1,0,3
0.473727845,local_r,16,0,0,100,0.1,0,3
0.802710668,local_r,17,0,0,100,0.1,0,3
0.898957278,local_r,18,0,0,100,0.1,0,3
0.177877581,local_r,19,0,0,100,0.1,0,3
0.462080174,local_r,20,0,0,100,0.1,0,3
0.703305411,local_r,21,0,0,100,0.1,0,3
0.283986093,local_r,22,0,0,100,0.1,0,3
0.809566573,local_r,23,0,0,100,0.1,0,3
0.165515382,local_r,24,0,0,100,0.1,0,3
0.449702911,local_r,25,0,0,100,0.1,0,3
0.606427471,local_r,26,0,0,100,0.1,0,3
0.246519696,local_r,27,0,0,100,0.1,0,3
0.491792905,local_r,28,0,0,100,0.1,0,3
0.491792905,local_r,29,0,0,100,0.1,0,3
0.491792905,local_r,30,0,0,100,0.1,0,3
1,ascertainment_rate_1,1,1,0,1,0.1,0,1
1,ascertainment_rate_2,2,1,0,1,0.1,0,1
1,ascertainment_rate_3,3,1,0,1,0.1,0,1
1,ascertainment_rate_4,4,1,0,1,0.1,0,1
1,ascertainment_rate_5,5,1,0,1,0.1,0,1
1,ascertainment_rate_6,6,1,0,1,0.1,0,1
1,ascertainment_rate_7,7,1,0,1,0.1,0,1
1,ascertainment_rate_8,8,1,0,1,0.1,0,1
1,ascertainment_rate_9,9,1,0,1,0.1,0,1
1,ascertainment_rate_10,10,1,0,1,0.1,0,1
1,ascertainment_rate_11,11,1,0,1,0.1,0,1
1,ascertainment_rate_12,12,1,0,1,0.1,0,1
1,ascertainment_rate_13,13,1,0,1,0.1,0,1
1,ascertainment_rate_14,14,1,0,1,0.1,0,1
1,ascertainment_rate_15,15,1,0,1,0.1,0,1
1,ascertainment_rate_16,16,1,0,1,0.1,0,1
