values,names,province,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
6,confirm_delay_shape,all,1,0,100,0.1,5,7
2,confirm_delay_scale,all,1,0,100,0.1,1,2
1.57,lnorm_incu_par1,all,1,0,10000,0.1,0,10
0.65,lnorm_incu_par2,all,1,0,10000,0.1,0,10
9.18,recovery_shape,all,1,0,10,0.1,0,10
2.46,recovery_scale,all,1,0,10,0.1,0,10
0,asymptomatic_propn,all,1,0,1,0.1,0,1
1,reporting_propn,all,1,0,1,0.1,0,1
100000,K,1,1,0,11000000,1,60000,1000000
0.25,growth_rate,1,1,0,0.5,0.1,0.1,0.12
10,i0,1,1,0,100,0.1,1,1
10,t0,1,1,0,31,0.1,5,15
2.2,R0,1,0,1,25,0.1,1.8,3
5,gamma,1,0,0,25,0.1,3,6
5,sigma,1,0,0,25,0.1,3,6
1000000,N,1,1,0,10000000,0.1,0,10000000
400,switch_time,1,1,0,1000,0.1,0,1000
0.9,R0_less,1,1,0,25,0.1,0,25
