"sampno","size","confirm_delay_shape","confirm_delay_scale","weibull_alpha","weibull_sigma","lnorm_incu_par1","lnorm_incu_par2","serial_interval_gamma_alpha","serial_interval_gamma_scale","recovery_shape","recovery_scale","t_switch","K","local_r_mean","local_r_sd","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","lnlike"
1,100,3.2,1,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,0.370977043,0,0,1e-05,0.493244481,0,0,1e-05,0.347452281,0,0,1e-05,0.289653662,0,0,1e-05,0.548794282,0,0,1e-05,0.987055309,0,0,1e-05,0.569154282,0,0,1e-05,0.052606602,0,0,1e-05,0.692386983,0,0,1e-05,0.58028021,0,0,1e-05,0.417123912,0,0,1e-05,0.408412727,0,0,1e-05,0.1655469,0,0,1e-05,0.050297264,0,0,1e-05,0.473727845,0,0,1e-05,0.802710668,0,0,1e-05,0.898957278,0,0,1e-05,0.177877581,0,0,1e-05,0.462080174,0,0,1e-05,0.703305411,0,0,1e-05,0.283986093,0,0,1e-05,0.809566573,0,0,1e-05,0.165515382,0,0,1e-05,0.449702911,0,0,1e-05,0.606427471,0,0,1e-05,0.246519696,0,0,1e-05,0.491792905,0,0,1e-05,0.491792905,0,0,1e-05,0.491792905,-17254.7733303644
11,100,3.2,1.72853363351896,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,1.48266521451338,0,0,1e-05,0.816029590747201,0,0,1e-05,0.387611281751748,0,0,1e-05,0.757210778644457,0,0,1e-05,1.22339783199639,0,0,1e-05,1.53110157966106,0,0,1e-05,0.569154282,0,0,1e-05,0.052606602,0,0,1e-05,0.692386983,0,0,1e-05,0.58028021,0,0,1e-05,0.417123912,0,0,1e-05,0.408412727,0,0,1e-05,0.1655469,0,0,1e-05,0.050297264,0,0,1e-05,0.473727845,0,0,1e-05,0.802710668,0,0,1e-05,0.898957278,0,0,1e-05,0.177877581,0,0,1e-05,0.462080174,0,0,1e-05,0.703305411,0,0,1e-05,0.283986093,0,0,1e-05,0.809566573,0,0,1e-05,0.165515382,0,0,1e-05,0.449702911,0,0,1e-05,0.606427471,0,0,1e-05,0.246519696,0,0,1e-05,0.491792905,0,0,1e-05,0.491792905,0,0,1e-05,0.491792905,-11770.1345972167
21,100,3.2,1.72853363351896,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,1.48266521451338,0,0,1e-05,0.816029590747201,0,0,1e-05,0.387611281751748,0,0,1e-05,0.757210778644457,0,0,1e-05,1.22339783199639,0,0,1e-05,1.53110157966106,0,0,1e-05,0.569154282,0,0,1e-05,1.13936967976477,0,0,1e-05,1.0715713982147,0,0,1e-05,0.58028021,0,0,1e-05,0.799400255102762,0,0,1e-05,1.33263984130117,0,0,1e-05,0.1655469,0,0,1e-05,0.050297264,0,0,1e-05,1.29216114151747,0,0,1e-05,1.5383103198163,0,0,1e-05,1.45823464310057,0,0,1e-05,0.177877581,0,0,1e-05,0.462080174,0,0,1e-05,0.703305411,0,0,1e-05,0.283986093,0,0,1e-05,0.809566573,0,0,1e-05,0.165515382,0,0,1e-05,0.449702911,0,0,1e-05,0.606427471,0,0,1e-05,0.246519696,0,0,1e-05,0.491792905,0,0,1e-05,0.491792905,0,0,1e-05,0.491792905,-10611.6040663235
31,100,3.2,1.72853363351896,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,1.48266521451338,0,0,1e-05,0.816029590747201,0,0,1e-05,0.387611281751748,0,0,1e-05,0.757210778644457,0,0,1e-05,1.22339783199639,0,0,1e-05,1.53110157966106,0,0,1e-05,0.569154282,0,0,1e-05,1.13936967976477,0,0,1e-05,1.0715713982147,0,0,1e-05,0.58028021,0,0,1e-05,0.799400255102762,0,0,1e-05,1.33263984130117,0,0,1e-05,0.1655469,0,0,1e-05,0.050297264,0,0,1e-05,1.29216114151747,0,0,1e-05,1.5383103198163,0,0,1e-05,1.45823464310057,0,0,1e-05,0.980243316289641,0,0,1e-05,1.16941207972355,0,0,1e-05,0.777604361494267,0,0,1e-05,0.907685901165518,0,0,1e-05,1.3903509196755,0,0,1e-05,0.165515382,0,0,1e-05,0.449702911,0,0,1e-05,0.606427471,0,0,1e-05,0.246519696,0,0,1e-05,0.896805596044249,0,0,1e-05,0.491792905,0,0,1e-05,0.491792905,-10380.6868257633
41,100,4.7087046707049,1.72853363351896,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,1.48266521451338,0,0,1e-05,0.816029590747201,0,0,1e-05,0.387611281751748,0,0,1e-05,1.66805945522074,0,0,1e-05,1.91669957908378,0,0,1e-05,1.53110157966106,0,0,1e-05,0.569154282,0,0,1e-05,1.13936967976477,0,0,1e-05,1.0715713982147,0,0,1e-05,0.58028021,0,0,1e-05,0.799400255102762,0,0,1e-05,1.33263984130117,0,0,1e-05,0.1655469,0,0,1e-05,0.050297264,0,0,1e-05,1.29216114151747,0,0,1e-05,1.5383103198163,0,0,1e-05,1.45823464310057,0,0,1e-05,0.980243316289641,0,0,1e-05,1.16941207972355,0,0,1e-05,0.777604361494267,0,0,1e-05,0.907685901165518,0,0,1e-05,1.3903509196755,0,0,1e-05,0.165515382,0,0,1e-05,0.449702911,0,0,1e-05,0.606427471,0,0,1e-05,0.246519696,0,0,1e-05,0.896805596044249,0,0,1e-05,1.52398271564856,0,0,1e-05,0.389457220649308,-8160.10856900916
51,100,4.7087046707049,1.72853363351896,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,1.48266521451338,0,0,1e-05,0.816029590747201,0,0,1e-05,0.387611281751748,0,0,1e-05,1.66805945522074,0,0,1e-05,1.91669957908378,0,0,1e-05,1.53110157966106,0,0,1e-05,0.569154282,0,0,1e-05,1.78208754983351,0,0,1e-05,1.59937445438958,0,0,1e-05,0.58028021,0,0,1e-05,0.799400255102762,0,0,1e-05,1.68836048763133,0,0,1e-05,0.862833593612114,0,0,1e-05,0.0615166019512624,0,0,1e-05,2.06933674844437,0,0,1e-05,1.5383103198163,0,0,1e-05,1.45823464310057,0,0,1e-05,0.980243316289641,0,0,1e-05,1.16941207972355,0,0,1e-05,0.777604361494267,0,0,1e-05,0.907685901165518,0,0,1e-05,1.3903509196755,0,0,1e-05,0.165515382,0,0,1e-05,0.449702911,0,0,1e-05,0.606427471,0,0,1e-05,0.246519696,0,0,1e-05,0.896805596044249,0,0,1e-05,1.52398271564856,0,0,1e-05,0.389457220649308,-7839.25145958247
61,100,4.7087046707049,1.72853363351896,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,1.48266521451338,0,0,1e-05,0.816029590747201,0,0,1e-05,0.387611281751748,0,0,1e-05,1.66805945522074,0,0,1e-05,1.91669957908378,0,0,1e-05,1.53110157966106,0,0,1e-05,0.569154282,0,0,1e-05,1.78208754983351,0,0,1e-05,1.59937445438958,0,0,1e-05,0.58028021,0,0,1e-05,0.799400255102762,0,0,1e-05,1.68836048763133,0,0,1e-05,0.862833593612114,0,0,1e-05,0.0615166019512624,0,0,1e-05,2.06933674844437,0,0,1e-05,1.92512014000917,0,0,1e-05,1.45823464310057,0,0,1e-05,1.3139764773861,0,0,1e-05,1.16941207972355,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,0.713955716305658,0,0,1e-05,0.988618076234357,0,0,1e-05,0.606427471,0,0,1e-05,0.246519696,0,0,1e-05,0.896805596044249,0,0,1e-05,1.52398271564856,0,0,1e-05,0.389457220649308,-7680.55367020088
71,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.6003493414457,0,0,1e-05,1.66805945522074,0,0,1e-05,1.91669957908378,0,0,1e-05,1.53110157966106,0,0,1e-05,0.569154282,0,0,1e-05,1.78208754983351,0,0,1e-05,1.59937445438958,0,0,1e-05,0.58028021,0,0,1e-05,0.799400255102762,0,0,1e-05,1.68836048763133,0,0,1e-05,0.862833593612114,0,0,1e-05,0.0615166019512624,0,0,1e-05,2.06933674844437,0,0,1e-05,1.92512014000917,0,0,1e-05,1.45823464310057,0,0,1e-05,1.3139764773861,0,0,1e-05,1.16941207972355,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,0.713955716305658,0,0,1e-05,0.988618076234357,0,0,1e-05,0.606427471,0,0,1e-05,1.47611624611073,0,0,1e-05,0.857679406967907,0,0,1e-05,2.1610350769199,0,0,1e-05,0.417381680076903,-6728.46535738142
81,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.6003493414457,0,0,1e-05,1.66805945522074,0,0,1e-05,1.91669957908378,0,0,1e-05,2.1043756380673,0,0,1e-05,0.569154282,0,0,1e-05,1.78208754983351,0,0,1e-05,1.88598688358001,0,0,1e-05,0.58028021,0,0,1e-05,0.800502686663628,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,0.0615166019512624,0,0,1e-05,2.06933674844437,0,0,1e-05,1.92512014000917,0,0,1e-05,1.45823464310057,0,0,1e-05,1.3139764773861,0,0,1e-05,1.16941207972355,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,0.713955716305658,0,0,1e-05,0.988618076234357,0,0,1e-05,0.606427471,0,0,1e-05,1.47611624611073,0,0,1e-05,0.857679406967907,0,0,1e-05,2.1610350769199,0,0,1e-05,0.417381680076903,-6670.71750476061
91,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.6003493414457,0,0,1e-05,1.66805945522074,0,0,1e-05,1.91669957908378,0,0,1e-05,2.1043756380673,0,0,1e-05,0.569154282,0,0,1e-05,1.78208754983351,0,0,1e-05,1.88598688358001,0,0,1e-05,0.58028021,0,0,1e-05,0.800502686663628,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,0.476507195611083,0,0,1e-05,1.93492505675637,0,0,1e-05,1.92512014000917,0,0,1e-05,1.45823464310057,0,0,1e-05,1.87329134393637,0,0,1e-05,1.49544738593045,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,0.977214332629241,0,0,1e-05,0.988618076234357,0,0,1e-05,0.606427471,0,0,1e-05,1.47611624611073,0,0,1e-05,0.857679406967907,0,0,1e-05,2.1610350769199,0,0,1e-05,0.417381680076903,-6579.8320014023
