"sampno","confirm_delay_shape","confirm_delay_scale","weibull_alpha","weibull_sigma","t_switch","K","i0","t0","lnlike"
1,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,64.4315762910992,756613.929793239,1,37,-10961.7998826292
11,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,58.6345547321252,988053.902513348,1,37,-841.037877434719
21,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,57.9857821529731,988053.902513348,1,37,-457.638569712502
31,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,57.9627678310499,998680.865741335,1,37,-429.648007817148
41,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,57.9627678310499,998680.865741335,1,37,-429.648007817148
51,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.658232898917,863812.979869545,1,37,-252.447737441918
61,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.658232898917,863812.979869545,1,37,-252.447737441918
71,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.658232898917,863812.979869545,1,37,-252.447737441918
81,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.658232898917,874787.17692662,1,37,-252.026772090888
91,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.658232898917,874787.17692662,1,37,-252.026772090888
101,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,874787.17692662,1,37,-252.223323308645
111,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,874787.17692662,1,37,-252.223323308645
121,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,874787.17692662,1,37,-252.223323308645
131,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,855744.668154686,1,37,-254.813724611002
141,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,885790.391823734,1,37,-252.762500338512
151,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,888492.210770159,1,37,-253.116665079103
161,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,863448.922052758,1,37,-253.21742566562
171,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,858980.012831757,1,37,-254.051384870564
181,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,858980.012831757,1,37,-254.051384870564
191,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.6756578511558,858980.012831757,1,37,-254.051384870564
201,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,858980.012831757,1,37,-251.330344333632
211,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,858980.012831757,1,37,-251.330344333632
