"sampno","confirm_delay_shape","confirm_delay_scale","weibull_alpha","weibull_sigma","t_switch","K","i0","t0","lnlike"
1,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,64.4315762910992,756613.929793239,1,37,-537401.724662427
11,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,59.1034822328947,367463.098866865,1,37,-196200.27678637
21,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.7111019906588,193105.296506546,1,37,-71178.7215118197
31,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,54.2547901347279,172067.741313949,1,37,-39216.693441678
41,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.5640941699967,113422.057377174,1,37,-2647.08620468447
51,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,113422.057377174,1,37,-564.383164463535
61,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,113422.057377174,1,37,-564.383164463535
71,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
81,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
91,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
101,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
111,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
121,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
131,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
141,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
151,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
161,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
171,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
181,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
191,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
201,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
211,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
221,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
231,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123921.65412195,1,37,-342.555983117703
241,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123137.377951859,1,37,-327.002987116363
251,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123137.377951859,1,37,-327.002987116363
261,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123137.377951859,1,37,-327.002987116363
271,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123137.377951859,1,37,-327.002987116363
281,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,123137.377951859,1,37,-327.002987116363
291,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,122527.933251197,1,37,-318.319153966709
301,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9106890177354,122527.933251197,1,37,-318.319153966709
311,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,122527.933251197,1,37,-310.669393669687
